Date,Gap,Order,Age,SUhour,SUmin,SUsec,SUtimehr,SUagehr,Clutch,Tray,ESU,AudacityAmp,Amp,EP5,PBKhour,PBKmin,PBKsec,PBKtimehr,PBKtimemin,PBKage,FirstHhour,FirstHmin,FirstHsec,FirstHtimehr,FirstHtimemin,LtoH,EPPBK,EP3m,PropH,NumHat,Stage1,Stage2,Stage3,AvgStage
20170622,0,1,5,14,19,30,14.325,134.325,95,1,15,0.3,,15,14,27,15,14.45416667,867.25,134.4541667,14,27,30,14.45833333,867.5,0.25,8,8,0.466666667,7,33,32,33,32.66666667
20170622,0,2,5,14,38,0,14.63333333,134.6333333,94,2,13,0.3,,13,14,47,30,14.79166667,887.5,134.7916667,14,47,46,14.79611111,887.7666667,0.266666667,2,2,0.846153846,11,32,32,33,32.33333333
20170622,0,3,5,14,58,50,14.98055556,134.9805556,93,3,15,0.3,,15,15,6,0,15.1,906,135.1,15,6,54,15.115,906.9,0.9,10,10,0.333333333,5,31,31,32,31.33333333
20170622,0,4,5,15,16,45,15.27916667,135.2791667,99,1,10,0.3,,10,15,25,10,15.41944444,925.1666667,135.4194444,15,26,0,15.43333333,926,0.833333333,8,8,0.2,2,32,32,32,32
20170622,30,5,5,16,18,30,16.30833333,136.3083333,93,1,15,0.3,,15,16,23,45,16.39583333,983.75,136.3958333,16,24,0,16.4,984,0.25,10,9,0.4,6,31,31,32,31.33333333
20170622,30,6,5,16,33,44,16.56222222,136.5622222,82,1,15,0.3,,14,16,38,54,16.64833333,998.9,136.6483333,16,39,12,16.65333333,999.2,0.3,4,3,0.785714286,11,32,32,33,32.33333333
20170622,30,7,5,16,49,4,16.81777778,136.8177778,90,1,15,0.3,,15,16,54,30,16.90833333,1014.5,136.9083333,16,55,24,16.92333333,1015.4,0.9,7,6,0.6,9,33,32,32,32.33333333
20170622,0,8,5,17,4,0,17.06666667,137.0666667,90,2,13,0.3,,11,17,13,0,17.21666667,1033,137.2166667,17,13,18,17.22166667,1033.3,0.3,5,4,0.636363636,7,33,32,32,32.33333333
20170622,30,9,5,17,21,20,17.35555556,137.3555556,83,2,15,0.3,,13,17,26,20,17.43888889,1046.333333,137.4388889,17,26,38,17.44388889,1046.633333,0.3,4,2,0.846153846,11,33,32,33,32.66666667
20170622,0,10,5,17,35,30,17.59166667,137.5916667,83,1,15,0.3,,13,17,46,40,17.77777778,1066.666667,137.7777778,17,47,5,17.78472222,1067.083333,0.416666667,5,5,0.615384615,8,33,32,33,32.66666667
20170622,30,11,5,17,56,4,17.93444444,137.9344444,81,2,15,0.3,,12,18,1,33,18.02583333,1081.55,138.0258333,18,2,40,18.04444444,1082.666667,1.116666667,6,5,0.583333333,7,33,32,33,32.66666667
20170622,0,12,5,18,11,42,18.195,138.195,81,1,15,0.3,,14,18,18,0,18.3,1098,138.3,18,18,16,18.30444444,1098.266667,0.266666667,6,6,0.571428571,8,33,32,33,32.66666667
20170622,30,13,5,18,27,27,18.4575,138.4575,85,1,11,0.3,,8,18,33,0,18.55,1113,138.55,18,34,17,18.57138889,1114.283333,1.283333333,6,6,0.25,2,32,32,32,32
